id,type,model,status,lost_by,date,nearest_location,geo,unit,tags
30395,Infantry fighting vehicles,MT-LB,Destroyed,Russia,2024-09-30,"Vovchansk, Chuhuiv raion","50.29024,36.94028",69th (ex-138th Separate Motor Rifle Brigade) Guards Motor Rifle Division,Cope cage
30396,Infantry fighting vehicles,MT-LB,Abandoned,Russia,2024-09-30,"Vovchansk, Chuhuiv raion","50.292289,36.936691",69th (ex-138th Separate Motor Rifle Brigade) Guards Motor Rifle Division,Cope cage
30397,Infantry fighting vehicles,BMP-2(K),Destroyed,Russia,2024-09-26,"Zhuravlevka, Belgorod raion","50.3287956,36.3261041",,"Turretless, Cope cage, ◇, Jammer, ✕, Additional armour"
30398,Infantry fighting vehicles,BMP-2(K),Destroyed,Russia,2024-10-03,"Vuhledar, Volnovakha raion","47.821793,37.260389",,"Cope cage, Jammer, Additional armour"
30399,Infantry fighting vehicles,BRM-1 675-sb3KDZ,Destroyed,Russia,2024-10-03,"Vuhledar, Volnovakha raion","47.823925,37.265453",,"Cope cage, Jammer"
30405,Infantry fighting vehicles,BMP-1AM 675-sb3KDZ,Abandoned,Russia,2024-09-10,"Niu-York, Bakhmut raion","48.347528,37.836944",,"Cope cage, Damaged"
30406,Infantry fighting vehicles,BTR-80,Destroyed,Russia,2024-09-10,"Niu-York, Bakhmut raion","48.347338,37.837072",,Additional armour
30408,Tanks,Unknown tank,Destroyed,Russia,2024-10-02,"Kreminna, Sievierodonetsk raion",,,
30409,Infantry fighting vehicles,MT-LB,Destroyed,Russia,2024-09-22,"Kostiantynivka, Pokrovsk raion","47.878417,37.423972",,"Cope cage, Expanded cabin"
30410,Tanks,Unknown tank,Destroyed,Russia,2024-09-22,"Paraskoviivka, Pokrovsk raion","47.880889,37.443917",,"Mine plow/roller, Turtle"
30411,Tanks,Unknown tank,Destroyed,Russia,2024-09-22,"Paraskoviivka, Pokrovsk raion","47.880889,37.443917",,Cope cage
30413,Transport,ZiL-131,Destroyed,Russia,2024-08-23,"Cheremoshki, Lgov raion","51.517350,35.273270",,
30415,Rocket and missile artillery,122mm 2B17 BM-21-1 (for 9K51 'Grad'),Destroyed,Russia,2024-10-03,"Pokrovsk raion, Donetsk oblast",,,
30417,"Command posts, communication","VTS 'Ladoga' heavy command, staff and reconnaissance vehicle",Destroyed,Russia,2024-06-23,"Chervonopopivka, Sievierodonetsk raion","49.1481,38.08125",,Cope cage
30418,Rocket and missile artillery,220mm 9P140 BM-27 (for 9K57 'Uragan'),Destroyed,Russia,2024-10-02,"Radisne, Skadovsk raion","46.28037,33.15638",,
30419,Drones,Supercam S350 reconnaissance UAV,Destroyed,Russia,2024-09-30,,,,
30420,Drones,ZALA Z-16 (421-16Е) reconnaissance UAV,Destroyed,Russia,2024-10-03,"Toretsk, Bakhmut raion",,,
30429,Infantry fighting vehicles,BTR-80 or 82,Destroyed,Russia,2024-09-26,Luhansk oblast,,,Cope cage
30435,Drones,Merlin-VR reconnaissance UAV,Captured,Russia,2024-10-03,South Ukraine,,,Damaged
30436,Self-propelled artillery,240mm 2S4 'Tyulpan',Destroyed,Russia,2024-07-30,,,,
30437,Transport,Ural-4320,Destroyed,Russia,2024-01-04,"Zalyman, Svatove raion","49.278690,38.110297",,
30444,Infantry fighting vehicles,BTR-82A(M),Destroyed,Russia,2024-07-31,"Novooleksandrivka, Pokrovsk raion","48.255,37.560944",,
30445,Infantry fighting vehicles,BMP-3 688A-sb6-2KP,Destroyed,Russia,2024-09-29,"Novooleksandrivka, Pokrovsk raion","48.256722,37.558",,"Turretless, Cope cage, Jammer"
30446,Infantry fighting vehicles,BMP-2(K),Destroyed,Russia,2024-10-04,Kursk oblast,,,"Z, Cope cage"
30447,Infantry fighting vehicles,BTR-82AT,Destroyed,Russia,2024-10-04,"Selydove, Pokrovsk raion",,,Jammer
30448,Drones,ZALA Z-16 (421-16Е) reconnaissance UAV,Destroyed,Russia,2024-10-04,,,,
30449,Infantry fighting vehicles,BTR-80,Destroyed,Russia,2024-10-01,"Svatove raion, Luhansk oblast",,237th Tank Regiment,Cope cage
30450,Tanks,Unknown T-80 Obr. 2022 variant,Abandoned,Russia,2024-09-29,"Veseloe, Glushkovo raion","51.29652,34.6036",,"Z, Cope cage, Damaged, ◇, ✕"
30451,Self-propelled artillery,152mm 2S3(M) 'Akatsiya',Destroyed,Russia,2024-10-03,"Shebekino, Shebekino raion","50.38572,36.92958",136th Separate Motor Rifle Brigade,Cope cage
30452,Infantry fighting vehicles,BMP-2 675-sb3KDZ,Destroyed,Russia,2024-10-04,"Vovchansk, Chuhuiv raion","50.30102,36.916340",,"Cope cage, Armour kit missing"
30453,Transport,Ural-4320,Destroyed,Russia,2024-08-31,Kharkiv oblast,,,
30456,Infantry fighting vehicles,BMD-4M,Destroyed,Russia,2024-09-30,Kursk oblast,,VDV (Russian Airborne Forces),"Cope cage, Additional armour"
30457,Infantry fighting vehicles,BTR-82A(M),Destroyed,Russia,2024-09-30,Kursk oblast,,,
30459,Drones,S-70 'Okhotnik' heavy UCAV,Destroyed,Russia,2024-10-05,"Kostiantynivka, Kramatorsk raion","48.50539,37.71088",,
30462,Infantry fighting vehicles,BMP-2 675-sb3KDZ,Destroyed,Russia,2024-10-06,"Paraskoviivka, Pokrovsk raion","47.8722,37.43376",,"Cope cage, Jammer"
30463,Infantry fighting vehicles,BTR-50,Destroyed,Russia,2024-10-05,"Vuhledar, Volnovakha raion",,,"Cope cage, Jammer, Additional armour"
30464,Infantry fighting vehicles,BMP-3 688A-sb6-2KP,Destroyed,Russia,2024-10-04,"Katerynivka, Pokrovsk raion","47.869139,37.350306",,"Turretless, Cope cage, Jammer, Additional armour"
30465,Infantry fighting vehicles,BMP-2(K),Destroyed,Russia,2024-10-04,"Vodiane, Volnovakha raion","47.840624,37.300009",,"Turretless, Cope cage, Jammer"
30466,Tanks,T-72 *,Destroyed,Russia,2024-10-06,"Torske (Lyman hromada), Kramatorsk raion","49.030041,38.047344",,"Turretless, Shattered, Mine plow/roller, Jammer, Turtle"
30467,Infantry fighting vehicles,BTR-82AT,Destroyed,Russia,2024-10-06,"Dibrova, Sievierodonetsk raion","49.040806,38.070722",,Cope cage
30468,Infantry fighting vehicles,BTR-82AT,Destroyed,Russia,2024-10-06,"Dibrova, Sievierodonetsk raion","49.043030,38.068911",,
30470,Infantry fighting vehicles,BTR-82AT,Destroyed,Russia,2024-10-06,"Dibrova, Sievierodonetsk raion","49.03011,38.05814",,
30471,Tanks,Unknown T-72 Obr. 2022 variant,Destroyed,Russia,2024-10-03,"Maksymilianivka, Pokrovsk raion","47.969806,37.40675",,Cope cage
30472,Infantry mobility vehicles,AMN-590951 'VPK-Ural',Destroyed,Russia,2024-10-03,"Petrovka, Belgorod raion","50.359711,36.390007",,"Flipped, Additional armour"
30473,Infantry fighting vehicles,MT-LB,Destroyed,Russia,2024-10-03,"Hostre, Pokrovsk raion",,,"Cope cage, Additional armour"
30474,Tanks,Unknown T-72 Obr. 2022 variant,Destroyed,Russia,2024-10-05,"Pishchane (Petropavlivka hromada), Kupiansk raion",,,Cope cage
30475,Infantry fighting vehicles,BMP-3,Destroyed,Russia,2024-10-05,"Pishchane (Petropavlivka hromada), Kupiansk raion",,,Turretless
30476,Infantry fighting vehicles,MT-LB,Destroyed,Russia,2024-10-05,"Pishchane (Petropavlivka hromada), Kupiansk raion",,,Cope cage
30477,Infantry fighting vehicles,BMP-1 675-sb3KDZ,Destroyed,Russia,2024-10-06,"Vesele, Bakhmut raion","48.74706,38.16525",,"Cope cage, Jammer"
30478,Infantry fighting vehicles,BMP-1 675-sb3KDZ,Destroyed,Russia,2024-10-06,"Vesele, Bakhmut raion","48.764564,38.145631",,Cope cage
30479,Infantry fighting vehicles,BMP-1 675-sb3KDZ,Destroyed,Russia,2024-10-06,"Vesele, Bakhmut raion","48.764016,38.145706",,Cope cage
30480,Infantry fighting vehicles,BMP-1 675-sb3KDZ,Abandoned,Russia,2024-10-06,"Vesele, Bakhmut raion","48.767103,38.144526",,"Cope cage, Damaged"
30481,Infantry fighting vehicles,BMP-1 675-sb3KDZ,Abandoned,Russia,2024-10-06,"Vesele, Bakhmut raion","48.766827,38.144676",,"Z, Cope cage"
30482,Infantry fighting vehicles,BMP-1 675-sb3KDZ,Destroyed,Russia,2024-10-05,"Vesele, Bakhmut raion",,,Cope cage
