id,type,model,status,date,front,oblast,raion,town,lat,lon,tags
2682,Towed artillery,122mm 2A18 D-30 howitzer,Captured,2022-03-06,South Ukraine,Mykolaiv oblast,Mykolaiv raion,Mykolaiv,46.91148,32.099741,
2683,Towed artillery,122mm 2A18 D-30 howitzer,Captured,2022-03-06,South Ukraine,Mykolaiv oblast,Mykolaiv raion,Mykolaiv,46.911408,32.099601,
2684,Towed artillery,122mm 2A18 D-30 howitzer,Captured,2022-03-06,South Ukraine,Mykolaiv oblast,Mykolaiv raion,Mykolaiv,46.911396,32.099457,
2685,Towed artillery,122mm 2A18 D-30 howitzer,Captured,2022-03-06,South Ukraine,Mykolaiv oblast,Mykolaiv raion,Mykolaiv,46.911369,32.099333,
2686,Towed artillery,122mm 2A18 D-30 howitzer,Captured,2022-03-06,South Ukraine,Mykolaiv oblast,Mykolaiv raion,Mykolaiv,46.911485,32.099238,
2687,Towed artillery,122mm 2A18 D-30 howitzer,Captured,2022-03-06,South Ukraine,Mykolaiv oblast,Mykolaiv raion,Mykolaiv,46.91145,32.099133,
2688,Towed artillery,122mm 2A18 D-30 howitzer,Captured,2022-03-06,South Ukraine,Mykolaiv oblast,Mykolaiv raion,Mykolaiv,46.911308,32.098598,
2689,Towed artillery,122mm 2A18 D-30 howitzer,Captured,2022-03-06,South Ukraine,Mykolaiv oblast,Mykolaiv raion,Mykolaiv,46.911283,32.098414,
2690,Towed artillery,122mm 2A18 D-30 howitzer,Captured,2022-03-06,South Ukraine,Mykolaiv oblast,Mykolaiv raion,Mykolaiv,46.911244,32.09824,
2691,Towed artillery,122mm 2A18 D-30 howitzer,Captured,2022-03-06,South Ukraine,Mykolaiv oblast,Mykolaiv raion,Mykolaiv,46.911224,32.098105,
2692,Towed artillery,122mm 2A18 D-30 howitzer,Captured,2022-03-15,South Ukraine,Mykolaiv oblast,Mykolaiv raion,,,,
2693,Towed artillery,122mm 2A18 D-30 howitzer,Captured,2022-03-15,South Ukraine,Mykolaiv oblast,Mykolaiv raion,,,,
2694,Towed artillery,122mm 2A18 D-30 howitzer,Captured,2022-03-15,South Ukraine,Mykolaiv oblast,Mykolaiv raion,,,,
2695,Towed artillery,122mm 2A18 D-30 howitzer,Captured,2022-03-15,South Ukraine,Mykolaiv oblast,Mykolaiv raion,,,,
2696,Towed artillery,122mm 2A18 D-30 howitzer,Captured,2022-04-20,South Ukraine,Mykolaiv oblast,Voznesensk raion,Voznesensk,,,
2697,Towed artillery,122mm 2A18 D-30 howitzer,Captured,2022-03-20,,,,,,,
2698,Towed artillery,122mm 2A18 D-30 howitzer,Captured,2022-03-20,South Ukraine,Mykolaiv oblast,Bashtanka raion,Bashtanka,47.391096,32.450726,
2699,Tanks,T-72A,Destroyed,2022-04-01,North Ukraine,Chernihiv oblast,Nizhyn raion,Velyka Doroha,50.87532,32.00616,-941
2700,Towed artillery,122mm 2A18 D-30 howitzer,Captured,2022-04-11,North Ukraine,Kyiv oblast,Vyshhorod raion,Kozarovychi,,,-956
2701,Towed artillery,152mm 52-P-546 D-20 gun-howitzer,Destroyed,2022-06-08,East Ukraine,Luhansk oblast,,,,,
2702,Towed artillery,152mm 2A65 'Msta-B' howitzer,Damaged,2022-02-25,South Ukraine,Kherson oblast,Kherson raion,Radensk,46.591944,32.881423,
2703,Transport,KamAZ 6x6,Destroyed,2022-02-25,South Ukraine,Kherson oblast,Kherson raion,Radensk,46.591412,32.88256,
2704,Towed artillery,152mm 2A65 'Msta-B' howitzer,Destroyed,2022-02-25,South Ukraine,Kherson oblast,Kherson raion,Radensk,46.592235,32.880839,
2705,Towed artillery,152mm 2A65 'Msta-B' howitzer,Destroyed,2022-03-22,North Ukraine,Chernihiv oblast,Chernihiv raion,Yahidne,51.353679,31.27911,
2706,Towed artillery,152mm 2A65 'Msta-B' howitzer,Destroyed,2022-03-22,North Ukraine,Chernihiv oblast,Chernihiv raion,Yahidne,51.353733,31.279343,
2707,Towed artillery,152mm 2A65 'Msta-B' howitzer,Destroyed,2022-03-22,North Ukraine,Chernihiv oblast,Chernihiv raion,Yahidne,51.35314,31.27939,
